imputation,group,variable,level,n,denominator,estimate,variance
3,Overall,hypertension,No,1747,7104,0.25718636789635,4.54898687899894e-05
3,Overall,hypertension,Yes,5349,7104,0.741692645866206,4.58195268482722e-05
3,Overall,hypertension,Unknown,8,7104,0.00112098623744417,1.89292486449981e-07
3,Overall,hypertension,Missing,0,7104,0,0
3,Overall,diabetes,No,5136,7104,0.71335608944225,4.68716527646309e-05
3,Overall,diabetes,Yes,1960,7104,0.285891012980771,4.70248847284832e-05
3,Overall,diabetes,Unknown,8,7104,0.00075289757697927,7.53844563435759e-08
3,Overall,diabetes,Missing,0,7104,0,0
3,Overall,coronary,No,5212,7104,0.740363004987016,4.11455895988254e-05
3,Overall,coronary,Yes,1828,7104,0.252252523991925,4.05794736057548e-05
3,Overall,coronary,Unknown,64,7104,0.00738447102105903,1.09628221175552e-06
3,Overall,coronary,Missing,0,7104,0,0
3,Overall,smoking,Never,3196,7104,0.460052272102848,5.58249974000508e-05
3,Overall,smoking,Former,2592,7104,0.340226602060739,4.99278309445265e-05
3,Overall,smoking,Current,1132,7104,0.167766128842217,3.18376879154601e-05
3,Overall,smoking,Unknown,184,7104,0.0319549969941956,9.47409716576648e-06
3,Overall,smoking,Missing,0,7104,0,0
3,Overall,fairpoor,Good or better,3607,7104,0.480009409936872,5.8568838215046e-05
3,Overall,fairpoor,Fair or poor,3486,7104,0.518558623068889,5.87287529695738e-05
3,Overall,fairpoor,Unknown,11,7104,0.00143196699423978,4.23063161490323e-07
3,Overall,fairpoor,Missing,0,7104,0,0
3,Overall,disability,Without disability,4384,7104,0.612374964216707,5.44556217271682e-05
3,Overall,disability,With disability,2720,7104,0.387625035783293,5.44556217271682e-05
3,Overall,disability,Missing,0,7104,0,0
3,No barrier,young,65+,4237,5920,0.640293448774437,6.96111364913885e-05
3,No barrier,young,18-64,1683,5920,0.359706551225564,6.96111364913885e-05
3,No barrier,young,Missing,0,5920,0,0
3,No barrier,sex,1,2777,5920,0.496844718254879,6.81746026140742e-05
3,No barrier,sex,2,3143,5920,0.503155281745121,6.81746026140742e-05
3,No barrier,sex,Missing,0,5920,0,0
3,No barrier,race,1,478,5920,0.111674743737091,5.18034877286955e-05
3,No barrier,race,2,4279,5920,0.676478410651081,0.000110046532599539
3,No barrier,race,3,852,5920,0.14918592778545,6.10819839561769e-05
3,No barrier,race,4,146,5920,0.0354544218108883,2.09465424209565e-05
3,No barrier,race,5,66,5920,0.00936001387298833,3.18022116219507e-06
3,No barrier,race,6,63,5920,0.0114591900963082,3.21666658909077e-06
3,No barrier,race,7,36,5920,0.00638729204619333,1.69109586524386e-06
3,No barrier,race,Missing,0,5920,0,0
3,No barrier,region,1,901,5920,0.163982511011061,5.2719081870988e-05
3,No barrier,region,2,1405,5920,0.222826465892697,6.85051519208589e-05
3,No barrier,region,3,2362,5920,0.410083301728144,0.000114926349501943
3,No barrier,region,4,1252,5920,0.203107721368097,8.07147201070765e-05
3,No barrier,region,Missing,0,5920,0,0
3,No barrier,education,Bachelor or higher,1437,5920,0.206491522527498,3.79221849638875e-05
3,No barrier,education,Some college or associate,1743,5920,0.282236135233151,4.68976338534339e-05
3,No barrier,education,High school or GED,1848,5920,0.326475632971705,6.279115166384e-05
3,No barrier,education,Less than high school,866,5920,0.179885536254857,5.24320765229404e-05
3,No barrier,education,Unknown,26,5920,0.0049111730127897,1.15530480850461e-06
3,No barrier,education,Missing,0,5920,0,0
3,No barrier,income_group,400%+,1565,5920,0.26996445194643,5.48102206890586e-05
3,No barrier,income_group,200-399%,1772,5920,0.309479082513564,5.61990083409334e-05
3,No barrier,income_group,100-199%,1542,5920,0.251926706961493,5.09449941694086e-05
3,No barrier,income_group,<100%,1041,5920,0.168629758578514,4.38464349764116e-05
3,No barrier,income_group,Missing,0,5920,0,0
3,No barrier,insurance,Private,2465,5920,0.409238216434299,7.33038782804792e-05
3,No barrier,insurance,Public without private,3263,5920,0.549214243245428,7.69611618127432e-05
3,No barrier,insurance,Military only,92,5920,0.0163654965076695,4.53671207160064e-06
3,No barrier,insurance,Uninsured,80,5920,0.0201723822817995,6.43881716979838e-06
3,No barrier,insurance,Unknown,20,5920,0.00500966153080363,3.02216502540787e-06
3,No barrier,insurance,Missing,0,5920,0,0
3,No barrier,hypertension,No,1455,5920,0.252693807732114,4.84138668371107e-05
3,No barrier,hypertension,Yes,4458,5920,0.746140235801088,4.8797330356437e-05
3,No barrier,hypertension,Unknown,7,5920,0.00116595646679812,2.4178494797321e-07
3,No barrier,hypertension,Missing,0,5920,0,0
3,No barrier,diabetes,No,4330,5920,0.722929627622851,5.38100605371854e-05
3,No barrier,diabetes,Yes,1583,5920,0.276256229751697,5.40473005913896e-05
3,No barrier,diabetes,Unknown,7,5920,0.000814142625451869,1.01340195965354e-07
3,No barrier,diabetes,Missing,0,5920,0,0
3,No barrier,coronary,No,4369,5920,0.747524022832821,4.7826207098867e-05
3,No barrier,coronary,Yes,1500,5920,0.245282827751338,4.72162668937456e-05
3,No barrier,coronary,Unknown,51,5920,0.0071931494158402,1.32421330081606e-06
3,No barrier,coronary,Missing,0,5920,0,0
3,No barrier,smoking,Never,2710,5920,0.465558596147424,6.37045719301132e-05
3,No barrier,smoking,Former,2240,5920,0.355081655303002,5.79379578316096e-05
3,No barrier,smoking,Current,821,5920,0.14704345849714,3.42513011348382e-05
3,No barrier,smoking,Unknown,149,5920,0.0323162900524341,1.18778206792597e-05
3,No barrier,smoking,Missing,0,5920,0,0
3,No barrier,fairpoor,Good or better,3201,5920,0.5155469301769,7.40765676746955e-05
3,No barrier,fairpoor,Fair or poor,2712,5920,0.483136638572404,7.39022277132791e-05
3,No barrier,fairpoor,Unknown,7,5920,0.00131643125069572,5.78021442216552e-07
3,No barrier,fairpoor,Missing,0,5920,0,0
3,No barrier,disability,Without disability,3742,5920,0.623079500422565,6.33478604502315e-05
3,No barrier,disability,With disability,2178,5920,0.376920499577435,6.33478604502315e-05
3,No barrier,disability,Missing,0,5920,0,0
3,Any barrier,young,65+,526,1184,0.358638447134171,0.000278911152860601
3,Any barrier,young,18-64,658,1184,0.641361552865829,0.000278911152860601
3,Any barrier,young,Missing,0,1184,0,0
3,Any barrier,sex,1,492,1184,0.432989061250237,0.000322023409271602
3,Any barrier,sex,2,692,1184,0.567010938749763,0.000322023409271602
3,Any barrier,sex,Missing,0,1184,0,0
3,Any barrier,race,1,121,1184,0.12831741475737,0.000223651431373706
3,Any barrier,race,2,773,1184,0.616836647933417,0.000359470011177412
3,Any barrier,race,3,216,1184,0.196892522925975,0.000241562909223075
3,Any barrier,race,4,25,1184,0.0236432538813766,3.15501142764468e-05
3,Any barrier,race,5,11,1184,0.00815453757507937,8.81653975932625e-06
3,Any barrier,race,6,28,1184,0.0178606280480413,1.63758906332898e-05
3,Any barrier,race,7,10,1184,0.00829499487874091,8.31067622506316e-06
3,Any barrier,race,Missing,0,1184,0,0
3,Any barrier,region,1,131,1184,0.117876955754098,0.00013160378981191
3,Any barrier,region,2,276,1184,0.205560966409154,0.000240870444702484
3,Any barrier,region,3,580,1184,0.527030943578866,0.000415335133634554
3,Any barrier,region,4,197,1184,0.149531134257882,0.000221436822884777
3,Any barrier,region,Missing,0,1184,0,0
3,Any barrier,education,Bachelor or higher,233,1184,0.173576145965994,0.000170570253479633
3,Any barrier,education,Some college or associate,406,1184,0.309023305742941,0.000243813628295251
3,Any barrier,education,High school or GED,354,1184,0.308098841349726,0.000293250812440058
3,Any barrier,education,Less than high school,184,1184,0.197373337373421,0.000254228268914842
3,Any barrier,education,Unknown,7,1184,0.0119283695679187,2.62813844826851e-05
3,Any barrier,education,Missing,0,1184,0,0
3,Any barrier,income_group,400%+,129,1184,0.118075415088446,0.000121512783602895
3,Any barrier,income_group,200-399%,344,1184,0.307591663347927,0.000271634188930655
3,Any barrier,income_group,100-199%,431,1184,0.35379382404019,0.000268486780978622
3,Any barrier,income_group,<100%,280,1184,0.220539097523437,0.000210352932051396
3,Any barrier,income_group,Missing,0,1184,0,0
3,Any barrier,insurance,Private,423,1184,0.371940913299552,0.000289956862330956
3,Any barrier,insurance,Public without private,608,1184,0.473717334807964,0.000298901754154984
3,Any barrier,insurance,Military only,17,1184,0.0167006184117451,1.9891058695523e-05
3,Any barrier,insurance,Uninsured,127,1184,0.131500019614905,0.000171466590125631
3,Any barrier,insurance,Unknown,9,1184,0.00614111386583382,5.21755421946289e-06
3,Any barrier,insurance,Missing,0,1184,0,0
3,Any barrier,hypertension,No,292,1184,0.277770731930057,0.000294261320002297
3,Any barrier,hypertension,Yes,891,1184,0.72131432995158,0.000293454108390189
3,Any barrier,hypertension,Unknown,1,1184,0.000914938118362711,8.36813686815278e-07
3,Any barrier,hypertension,Missing,0,1184,0,0
3,Any barrier,diabetes,No,806,1184,0.669491302372975,0.000305309478108965
3,Any barrier,diabetes,Yes,377,1184,0.330036417410066,0.000305896964552298
3,Any barrier,diabetes,Unknown,1,1184,0.000472280216958555,2.23143601408748e-07
3,Any barrier,diabetes,Missing,0,1184,0,0
3,Any barrier,coronary,No,843,1184,0.707552092544841,0.000277114689670116
3,Any barrier,coronary,Yes,328,1184,0.284186824118323,0.000273876380873219
3,Any barrier,coronary,Unknown,13,1184,0.00826108333683591,6.80222442448004e-06
3,Any barrier,coronary,Missing,0,1184,0,0
3,Any barrier,smoking,Never,486,1184,0.434822965320624,0.000336333197042987
3,Any barrier,smoking,Former,352,1184,0.27216255561499,0.000243793237896327
3,Any barrier,smoking,Current,311,1184,0.262714882902178,0.000256147793180204
3,Any barrier,smoking,Unknown,35,1184,0.0302995961622077,3.73567243264969e-05
3,Any barrier,smoking,Missing,0,1184,0,0
3,Any barrier,fairpoor,Good or better,406,1184,0.317180816276746,0.000250119024041678
3,Any barrier,fairpoor,Fair or poor,774,1184,0.680857846010076,0.000249585195200959
3,Any barrier,fairpoor,Unknown,4,1184,0.0019613377131783,1.03521753674856e-06
3,Any barrier,fairpoor,Missing,0,1184,0,0
3,Any barrier,disability,Without disability,642,1184,0.563328081811544,0.000300786988887651
3,Any barrier,disability,With disability,542,1184,0.436671918188456,0.000300786988887651
3,Any barrier,disability,Missing,0,1184,0,0
4,Overall,young,65+,4763,7104,0.589834627332109,6.5078834133764e-05
4,Overall,young,18-64,2341,7104,0.410165372667891,6.5078834133764e-05
4,Overall,young,Missing,0,7104,0,0
4,Overall,sex,1,3269,7104,0.485404902962712,5.81712905110087e-05
4,Overall,sex,2,3835,7104,0.514595097037288,5.81712905110087e-05
4,Overall,sex,Missing,0,7104,0,0
4,Overall,race,1,599,7104,0.114656297625519,4.62795991979016e-05
4,Overall,race,2,5052,7104,0.665793519426178,9.68656631205059e-05
4,Overall,race,3,1068,7104,0.157732619844168,5.86721651879677e-05
4,Overall,race,4,171,7104,0.0333384373259341,1.61450790290974e-05
4,Overall,race,5,77,7104,0.00914405139082075,3.11523968217027e-06
4,Overall,race,6,91,7104,0.012606015157818,2.8180193091112e-06
4,Overall,race,7,46,7104,0.00672905922956289,1.41527827994508e-06
4,Overall,race,Missing,0,7104,0,0
4,Overall,region,1,1032,7104,0.155722647111389,4.37086434033179e-05
4,Overall,region,2,1681,7104,0.219733331559988,6.44480205255051e-05
4,Overall,region,3,2942,7104,0.431034607914369,0.000111154751185498
4,Overall,region,4,1449,7104,0.193509413414254,7.15562391364857e-05
4,Overall,region,Missing,0,7104,0,0
4,Overall,education,Bachelor or higher,1670,7104,0.200594694496923,3.11956820820388e-05
4,Overall,education,Some college or associate,2149,7104,0.287035088015196,4.0911786933458e-05
4,Overall,education,High school or GED,2202,7104,0.323183409358645,5.21672213777125e-05
4,Overall,education,Less than high school,1050,7104,0.18301849618428,4.53471309247497e-05
4,Overall,education,Unknown,33,7104,0.00616831194495467,1.61086660344362e-06
4,Overall,education,Missing,0,7104,0,0
4,Overall,income_group,400%+,1688,7104,0.242755317858207,4.50320900512518e-05
4,Overall,income_group,200-399%,2134,7104,0.309179236230787,4.91088595685322e-05
4,Overall,income_group,100-199%,1988,7104,0.277133957321432,4.60960339828774e-05
4,Overall,income_group,<100%,1294,7104,0.170931488589574,3.51244833116016e-05
4,Overall,income_group,Missing,0,7104,0,0
4,Overall,insurance,Private,2888,7104,0.402556361156756,6.12154888857282e-05
4,Overall,insurance,Public without private,3871,7104,0.535688884206503,6.23543964177575e-05
4,Overall,insurance,Military only,109,7104,0.0164255339869284,4.02195333135433e-06
4,Overall,insurance,Uninsured,207,7104,0.0401168581159693,1.11182899830686e-05
4,Overall,insurance,Unknown,29,7104,0.0052123625338439,2.20180622204963e-06
4,Overall,insurance,Missing,0,7104,0,0
4,Overall,hypertension,No,1747,7104,0.25718636789635,4.54898687899894e-05
4,Overall,hypertension,Yes,5349,7104,0.741692645866206,4.58195268482722e-05
4,Overall,hypertension,Unknown,8,7104,0.00112098623744417,1.89292486449981e-07
4,Overall,hypertension,Missing,0,7104,0,0
4,Overall,diabetes,No,5136,7104,0.71335608944225,4.68716527646309e-05
4,Overall,diabetes,Yes,1960,7104,0.285891012980771,4.70248847284832e-05
4,Overall,diabetes,Unknown,8,7104,0.00075289757697927,7.53844563435759e-08
4,Overall,diabetes,Missing,0,7104,0,0
4,Overall,coronary,No,5212,7104,0.740363004987016,4.11455895988254e-05
4,Overall,coronary,Yes,1828,7104,0.252252523991925,4.05794736057548e-05
4,Overall,coronary,Unknown,64,7104,0.00738447102105903,1.09628221175552e-06
4,Overall,coronary,Missing,0,7104,0,0
4,Overall,smoking,Never,3196,7104,0.460052272102848,5.58249974000508e-05
4,Overall,smoking,Former,2592,7104,0.340226602060739,4.99278309445265e-05
4,Overall,smoking,Current,1132,7104,0.167766128842217,3.18376879154601e-05
4,Overall,smoking,Unknown,184,7104,0.0319549969941956,9.47409716576648e-06
4,Overall,smoking,Missing,0,7104,0,0
4,Overall,fairpoor,Good or better,3607,7104,0.480009409936872,5.8568838215046e-05
4,Overall,fairpoor,Fair or poor,3486,7104,0.518558623068889,5.87287529695738e-05
4,Overall,fairpoor,Unknown,11,7104,0.00143196699423978,4.23063161490323e-07
4,Overall,fairpoor,Missing,0,7104,0,0
4,Overall,disability,Without disability,4384,7104,0.612374964216707,5.44556217271682e-05
4,Overall,disability,With disability,2720,7104,0.387625035783293,5.44556217271682e-05
4,Overall,disability,Missing,0,7104,0,0
4,No barrier,young,65+,4237,5920,0.640293448774437,6.96111364913885e-05
4,No barrier,young,18-64,1683,5920,0.359706551225564,6.96111364913885e-05
4,No barrier,young,Missing,0,5920,0,0
4,No barrier,sex,1,2777,5920,0.496844718254879,6.81746026140742e-05
4,No barrier,sex,2,3143,5920,0.503155281745121,6.81746026140742e-05
4,No barrier,sex,Missing,0,5920,0,0
4,No barrier,race,1,478,5920,0.111674743737091,5.18034877286955e-05
4,No barrier,race,2,4279,5920,0.676478410651081,0.000110046532599539
4,No barrier,race,3,852,5920,0.14918592778545,6.10819839561769e-05
4,No barrier,race,4,146,5920,0.0354544218108883,2.09465424209565e-05
4,No barrier,race,5,66,5920,0.00936001387298833,3.18022116219507e-06
4,No barrier,race,6,63,5920,0.0114591900963082,3.21666658909077e-06
4,No barrier,race,7,36,5920,0.00638729204619333,1.69109586524386e-06
4,No barrier,race,Missing,0,5920,0,0
4,No barrier,region,1,901,5920,0.163982511011061,5.2719081870988e-05
4,No barrier,region,2,1405,5920,0.222826465892697,6.85051519208589e-05
4,No barrier,region,3,2362,5920,0.410083301728144,0.000114926349501943
4,No barrier,region,4,1252,5920,0.203107721368097,8.07147201070765e-05
4,No barrier,region,Missing,0,5920,0,0
4,No barrier,education,Bachelor or higher,1437,5920,0.206491522527498,3.79221849638875e-05
4,No barrier,education,Some college or associate,1743,5920,0.282236135233151,4.68976338534339e-05
4,No barrier,education,High school or GED,1848,5920,0.326475632971705,6.279115166384e-05
4,No barrier,education,Less than high school,866,5920,0.179885536254857,5.24320765229404e-05
4,No barrier,education,Unknown,26,5920,0.0049111730127897,1.15530480850461e-06
4,No barrier,education,Missing,0,5920,0,0
4,No barrier,income_group,400%+,1569,5920,0.271597655663882,5.775700470358e-05
4,No barrier,income_group,200-399%,1780,5920,0.308284037908784,6.18432034836579e-05
4,No barrier,income_group,100-199%,1549,5920,0.258331545663376,5.38467671852416e-05
4,No barrier,income_group,<100%,1022,5920,0.161786760763958,4.00376048531787e-05
4,No barrier,income_group,Missing,0,5920,0,0
4,No barrier,insurance,Private,2465,5920,0.409238216434299,7.33038782804792e-05
4,No barrier,insurance,Public without private,3263,5920,0.549214243245428,7.69611618127432e-05
4,No barrier,insurance,Military only,92,5920,0.0163654965076695,4.53671207160064e-06
4,No barrier,insurance,Uninsured,80,5920,0.0201723822817995,6.43881716979838e-06
4,No barrier,insurance,Unknown,20,5920,0.00500966153080363,3.02216502540787e-06
4,No barrier,insurance,Missing,0,5920,0,0
4,No barrier,hypertension,No,1455,5920,0.252693807732114,4.84138668371107e-05
4,No barrier,hypertension,Yes,4458,5920,0.746140235801088,4.8797330356437e-05
4,No barrier,hypertension,Unknown,7,5920,0.00116595646679812,2.4178494797321e-07
4,No barrier,hypertension,Missing,0,5920,0,0
4,No barrier,diabetes,No,4330,5920,0.722929627622851,5.38100605371854e-05
4,No barrier,diabetes,Yes,1583,5920,0.276256229751697,5.40473005913896e-05
4,No barrier,diabetes,Unknown,7,5920,0.000814142625451869,1.01340195965354e-07
4,No barrier,diabetes,Missing,0,5920,0,0
4,No barrier,coronary,No,4369,5920,0.747524022832821,4.7826207098867e-05
4,No barrier,coronary,Yes,1500,5920,0.245282827751338,4.72162668937456e-05
4,No barrier,coronary,Unknown,51,5920,0.0071931494158402,1.32421330081606e-06
4,No barrier,coronary,Missing,0,5920,0,0
4,No barrier,smoking,Never,2710,5920,0.465558596147424,6.37045719301132e-05
4,No barrier,smoking,Former,2240,5920,0.355081655303002,5.79379578316096e-05
4,No barrier,smoking,Current,821,5920,0.14704345849714,3.42513011348382e-05
4,No barrier,smoking,Unknown,149,5920,0.0323162900524341,1.18778206792597e-05
4,No barrier,smoking,Missing,0,5920,0,0
4,No barrier,fairpoor,Good or better,3201,5920,0.5155469301769,7.40765676746955e-05
4,No barrier,fairpoor,Fair or poor,2712,5920,0.483136638572404,7.39022277132791e-05
4,No barrier,fairpoor,Unknown,7,5920,0.00131643125069572,5.78021442216552e-07
4,No barrier,fairpoor,Missing,0,5920,0,0
4,No barrier,disability,Without disability,3742,5920,0.623079500422565,6.33478604502315e-05
4,No barrier,disability,With disability,2178,5920,0.376920499577435,6.33478604502315e-05
4,No barrier,disability,Missing,0,5920,0,0
4,Any barrier,young,65+,526,1184,0.358638447134171,0.000278911152860601
4,Any barrier,young,18-64,658,1184,0.641361552865829,0.000278911152860601
4,Any barrier,young,Missing,0,1184,0,0
4,Any barrier,sex,1,492,1184,0.432989061250237,0.000322023409271602
4,Any barrier,sex,2,692,1184,0.567010938749763,0.000322023409271602
4,Any barrier,sex,Missing,0,1184,0,0
4,Any barrier,race,1,121,1184,0.12831741475737,0.000223651431373706
4,Any barrier,race,2,773,1184,0.616836647933417,0.000359470011177412
4,Any barrier,race,3,216,1184,0.196892522925975,0.000241562909223075
4,Any barrier,race,4,25,1184,0.0236432538813766,3.15501142764468e-05
4,Any barrier,race,5,11,1184,0.00815453757507937,8.81653975932625e-06
4,Any barrier,race,6,28,1184,0.0178606280480413,1.63758906332898e-05
4,Any barrier,race,7,10,1184,0.00829499487874091,8.31067622506316e-06
4,Any barrier,race,Missing,0,1184,0,0
4,Any barrier,region,1,131,1184,0.117876955754098,0.00013160378981191
4,Any barrier,region,2,276,1184,0.205560966409154,0.000240870444702484
4,Any barrier,region,3,580,1184,0.527030943578866,0.000415335133634554
4,Any barrier,region,4,197,1184,0.149531134257882,0.000221436822884777
4,Any barrier,region,Missing,0,1184,0,0
4,Any barrier,education,Bachelor or higher,233,1184,0.173576145965994,0.000170570253479633
4,Any barrier,education,Some college or associate,406,1184,0.309023305742941,0.000243813628295251
4,Any barrier,education,High school or GED,354,1184,0.308098841349726,0.000293250812440058
4,Any barrier,education,Less than high school,184,1184,0.197373337373421,0.000254228268914842
4,Any barrier,education,Unknown,7,1184,0.0119283695679187,2.62813844826851e-05
4,Any barrier,education,Missing,0,1184,0,0
4,Any barrier,income_group,400%+,119,1184,0.110603235466187,0.000118899653846715
4,Any barrier,income_group,200-399%,354,1184,0.313280926017639,0.000268871571457006
4,Any barrier,income_group,100-199%,439,1184,0.363284319727742,0.000273096100964375
4,Any barrier,income_group,<100%,272,1184,0.212831518788431,0.000200726090495139
4,Any barrier,income_group,Missing,0,1184,0,0
4,Any barrier,insurance,Private,423,1184,0.371940913299552,0.000289956862330956
4,Any barrier,insurance,Public without private,608,1184,0.473717334807964,0.000298901754154984
4,Any barrier,insurance,Military only,17,1184,0.0167006184117451,1.9891058695523e-05
4,Any barrier,insurance,Uninsured,127,1184,0.131500019614905,0.000171466590125631
4,Any barrier,insurance,Unknown,9,1184,0.00614111386583382,5.21755421946289e-06
4,Any barrier,insurance,Missing,0,1184,0,0
4,Any barrier,hypertension,No,292,1184,0.277770731930057,0.000294261320002297
4,Any barrier,hypertension,Yes,891,1184,0.72131432995158,0.000293454108390189
4,Any barrier,hypertension,Unknown,1,1184,0.000914938118362711,8.36813686815278e-07
4,Any barrier,hypertension,Missing,0,1184,0,0
4,Any barrier,diabetes,No,806,1184,0.669491302372975,0.000305309478108965
4,Any barrier,diabetes,Yes,377,1184,0.330036417410066,0.000305896964552298
4,Any barrier,diabetes,Unknown,1,1184,0.000472280216958555,2.23143601408748e-07
4,Any barrier,diabetes,Missing,0,1184,0,0
4,Any barrier,coronary,No,843,1184,0.707552092544841,0.000277114689670116
4,Any barrier,coronary,Yes,328,1184,0.284186824118323,0.000273876380873219
4,Any barrier,coronary,Unknown,13,1184,0.00826108333683591,6.80222442448004e-06
4,Any barrier,coronary,Missing,0,1184,0,0
4,Any barrier,smoking,Never,486,1184,0.434822965320624,0.000336333197042987
4,Any barrier,smoking,Former,352,1184,0.27216255561499,0.000243793237896327
4,Any barrier,smoking,Current,311,1184,0.262714882902178,0.000256147793180204
4,Any barrier,smoking,Unknown,35,1184,0.0302995961622077,3.73567243264969e-05
4,Any barrier,smoking,Missing,0,1184,0,0
4,Any barrier,fairpoor,Good or better,406,1184,0.317180816276746,0.000250119024041678
4,Any barrier,fairpoor,Fair or poor,774,1184,0.680857846010076,0.000249585195200959
4,Any barrier,fairpoor,Unknown,4,1184,0.0019613377131783,1.03521753674856e-06
4,Any barrier,fairpoor,Missing,0,1184,0,0
4,Any barrier,disability,Without disability,642,1184,0.563328081811544,0.000300786988887651
4,Any barrier,disability,With disability,542,1184,0.436671918188456,0.000300786988887651
4,Any barrier,disability,Missing,0,1184,0,0
5,Overall,young,65+,4763,7104,0.589834627332109,6.5078834133764e-05
5,Overall,young,18-64,2341,7104,0.410165372667891,6.5078834133764e-05
5,Overall,young,Missing,0,7104,0,0
5,Overall,sex,1,3269,7104,0.485404902962712,5.81712905110087e-05
5,Overall,sex,2,3835,7104,0.514595097037288,5.81712905110087e-05
5,Overall,sex,Missing,0,7104,0,0
5,Overall,race,1,599,7104,0.114656297625519,4.62795991979016e-05
5,Overall,race,2,5052,7104,0.665793519426178,9.68656631205059e-05
5,Overall,race,3,1068,7104,0.157732619844168,5.86721651879677e-05
5,Overall,race,4,171,7104,0.0333384373259341,1.61450790290974e-05
5,Overall,race,5,77,7104,0.00914405139082075,3.11523968217027e-06
5,Overall,race,6,91,7104,0.012606015157818,2.8180193091112e-06
5,Overall,race,7,46,7104,0.00672905922956289,1.41527827994508e-06
5,Overall,race,Missing,0,7104,0,0
5,Overall,region,1,1032,7104,0.155722647111389,4.37086434033179e-05
5,Overall,region,2,1681,7104,0.219733331559988,6.44480205255051e-05
5,Overall,region,3,2942,7104,0.431034607914369,0.000111154751185498
5,Overall,region,4,1449,7104,0.193509413414254,7.15562391364857e-05
5,Overall,region,Missing,0,7104,0,0
5,Overall,education,Bachelor or higher,1670,7104,0.200594694496923,3.11956820820388e-05
5,Overall,education,Some college or associate,2149,7104,0.287035088015196,4.0911786933458e-05
5,Overall,education,High school or GED,2202,7104,0.323183409358645,5.21672213777125e-05
5,Overall,education,Less than high school,1050,7104,0.18301849618428,4.53471309247497e-05
5,Overall,education,Unknown,33,7104,0.00616831194495467,1.61086660344362e-06
5,Overall,education,Missing,0,7104,0,0
5,Overall,income_group,400%+,1691,7104,0.242456943874478,4.35848608262205e-05
5,Overall,income_group,200-399%,2121,7104,0.306565749376201,4.39906267621403e-05
5,Overall,income_group,100-199%,1992,7104,0.276987223517679,4.75485166793539e-05
5,Overall,income_group,<100%,1300,7104,0.173990083231643,3.84959415300403e-05
5,Overall,income_group,Missing,0,7104,0,0
5,Overall,insurance,Private,2888,7104,0.402556361156756,6.12154888857282e-05
5,Overall,insurance,Public without private,3871,7104,0.535688884206503,6.23543964177575e-05
5,Overall,insurance,Military only,109,7104,0.0164255339869284,4.02195333135433e-06
5,Overall,insurance,Uninsured,207,7104,0.0401168581159693,1.11182899830686e-05
5,Overall,insurance,Unknown,29,7104,0.0052123625338439,2.20180622204963e-06
5,Overall,insurance,Missing,0,7104,0,0
5,Overall,hypertension,No,1747,7104,0.25718636789635,4.54898687899894e-05
5,Overall,hypertension,Yes,5349,7104,0.741692645866206,4.58195268482722e-05
5,Overall,hypertension,Unknown,8,7104,0.00112098623744417,1.89292486449981e-07
5,Overall,hypertension,Missing,0,7104,0,0
5,Overall,diabetes,No,5136,7104,0.71335608944225,4.68716527646309e-05
5,Overall,diabetes,Yes,1960,7104,0.285891012980771,4.70248847284832e-05
5,Overall,diabetes,Unknown,8,7104,0.00075289757697927,7.53844563435759e-08
5,Overall,diabetes,Missing,0,7104,0,0
5,Overall,coronary,No,5212,7104,0.740363004987016,4.11455895988254e-05
5,Overall,coronary,Yes,1828,7104,0.252252523991925,4.05794736057548e-05
5,Overall,coronary,Unknown,64,7104,0.00738447102105903,1.09628221175552e-06
5,Overall,coronary,Missing,0,7104,0,0
5,Overall,smoking,Never,3196,7104,0.460052272102848,5.58249974000508e-05
5,Overall,smoking,Former,2592,7104,0.340226602060739,4.99278309445265e-05
5,Overall,smoking,Current,1132,7104,0.167766128842217,3.18376879154601e-05
5,Overall,smoking,Unknown,184,7104,0.0319549969941956,9.47409716576648e-06
5,Overall,smoking,Missing,0,7104,0,0
5,Overall,fairpoor,Good or better,3607,7104,0.480009409936872,5.8568838215046e-05
5,Overall,fairpoor,Fair or poor,3486,7104,0.518558623068889,5.87287529695738e-05
5,Overall,fairpoor,Unknown,11,7104,0.00143196699423978,4.23063161490323e-07
5,Overall,fairpoor,Missing,0,7104,0,0
5,Overall,disability,Without disability,4384,7104,0.612374964216707,5.44556217271682e-05
5,Overall,disability,With disability,2720,7104,0.387625035783293,5.44556217271682e-05
5,Overall,disability,Missing,0,7104,0,0
5,No barrier,young,65+,4237,5920,0.640293448774437,6.96111364913885e-05
5,No barrier,young,18-64,1683,5920,0.359706551225564,6.96111364913885e-05
5,No barrier,young,Missing,0,5920,0,0
5,No barrier,sex,1,2777,5920,0.496844718254879,6.81746026140742e-05
5,No barrier,sex,2,3143,5920,0.503155281745121,6.81746026140742e-05
5,No barrier,sex,Missing,0,5920,0,0
5,No barrier,race,1,478,5920,0.111674743737091,5.18034877286955e-05
5,No barrier,race,2,4279,5920,0.676478410651081,0.000110046532599539
5,No barrier,race,3,852,5920,0.14918592778545,6.10819839561769e-05
5,No barrier,race,4,146,5920,0.0354544218108883,2.09465424209565e-05
5,No barrier,race,5,66,5920,0.00936001387298833,3.18022116219507e-06
5,No barrier,race,6,63,5920,0.0114591900963082,3.21666658909077e-06
5,No barrier,race,7,36,5920,0.00638729204619333,1.69109586524386e-06
